ITEM	FILE	TC	BIN	HEX
1	.\TC1.txt	6980368	11010101000001100010000	0x6A8310
2	.\TC1.txt	5517055	10101000010111011111111	0x542EFF
3	.\TC1.txt	1336159	101000110001101011111	0x14635F
4	.\TC1.txt	6750185	11001101111111111101001	0x66FFE9
5	.\TC1.txt	1771937	110110000100110100001	0x1B09A1
6	.\TC1.txt	360952	1011000000111111000	0x581F8
7	.\TC1.txt	5672561	10101101000111001110001	0x568E71
8	.\TC1.txt	916583	11011111110001100111	0xDFC67
9	.\TC1.txt	2700138	1010010011001101101010	0x29336A
10	.\TC1.txt	9645053	100100110010101111111101	0x932BFD
11	.\TC1.txt	1181110	100100000010110110110	0x1205B6
12	.\TC1.txt	1492185	101101100010011011001	0x16C4D9
13	.\TC1.txt	4018595	1111010101000110100011	0x3D51A3
14	.\TC1.txt	7654888	11101001100110111101000	0x74CDE8
15	.\TC1.txt	7062453	11010111100001110110101	0x6BC3B5
16	.\TC1.txt	2478010	1001011100111110111010	0x25CFBA
17	.\TC1.txt	6134768	10111011001101111110000	0x5D9BF0
18	.\TC1.txt	8420417	100000000111110001000001	0x807C41
19	.\TC1.txt	2917489	1011001000010001110001	0x2C8471
20	.\TC1.txt	3340773	1100101111100111100101	0x32F9E5
21	.\TC1.txt	1115956	100010000011100110100	0x110734
22	.\TC1.txt	9172192	100010111111010011100000	0x8BF4E0
23	.\TC1.txt	6271996	10111111011001111111100	0x5FB3FC
24	.\TC1.txt	8686939	100001001000110101011011	0x848D5B
25	.\TC1.txt	50986	1100011100101010	0xC72A
26	.\TC1.txt	9376410	100011110001001010011010	0x8F129A
27	.\TC1.txt	5962327	10110101111101001010111	0x5AFA57
28	.\TC1.txt	7686891	11101010100101011101011	0x754AEB
29	.\TC1.txt	6615183	11001001111000010001111	0x64F08F
30	.\TC1.txt	1864844	111000111010010001100	0x1C748C
31	.\TC1.txt	3329962	1100101100111110101010	0x32CFAA
32	.\TC1.txt	3942794	1111000010100110001010	0x3C298A
33	.\TC1.txt	2614836	1001111110011000110100	0x27E634
34	.\TC1.txt	7406772	11100010000010010110100	0x7104B4
35	.\TC1.txt	2384190	1001000110000100111110	0x24613E
36	.\TC1.txt	398347	1100001010000001011	0x6140B
37	.\TC1.txt	8698503	100001001011101010000111	0x84BA87
38	.\TC1.txt	9551696	100100011011111101010000	0x91BF50
39	.\TC1.txt	1019556	11111000111010100100	0xF8EA4
40	.\TC1.txt	1677430	110011001100001110110	0x199876
41	.\TC1.txt	3479629	1101010001100001001101	0x35184D
42	.\TC1.txt	9309008	100011100000101101010000	0x8E0B50
43	.\TC1.txt	5266170	10100000101101011111010	0x505AFA
44	.\TC1.txt	4094340	1111100111100110000100	0x3E7984
45	.\TC1.txt	1754055	110101100001111000111	0x1AC3C7
46	.\TC1.txt	5861132	10110010110111100001100	0x596F0C
47	.\TC1.txt	4471329	10001000011101000100001	0x443A21
48	.\TC1.txt	8826052	100001101010110011000100	0x86ACC4
49	.\TC1.txt	7469325	11100011111100100001101	0x71F90D
50	.\TC1.txt	1973172	111100001101110110100	0x1E1BB4
51	.\TC1.txt	53145	1100111110011001	0xCF99
52	.\TC1.txt	3897508	1110110111100010100100	0x3B78A4
53	.\TC1.txt	7773386	11101101001110011001010	0x769CCA
54	.\TC1.txt	6089829	10111001110110001100101	0x5CEC65
